Team, Efg_pct, Turnover_PCT, orb_pct, ft_rate, opp_Team, opp_Efg_pct, opp_Turnover_PCT, opp_orb_pct, opp_ft_rate, class
CLE,  .500,  13.2,  16.7,  .182, BRK, .440, 12.1, 18.8, .048,  win
BRK, .440, 12.1, 18.8, .048, CLE,  .500,  13.2,  16.7,  .182,  loss
GSW,  .589,  8.8,  26.7,  .137, CHI, .375, 8.3, 27.1, .190,  win
CHI, .375, 8.3, 27.1, .190, GSW,  .589,  8.8,  26.7,  .137,  loss
MIN,  .467,  15.1,  21.3,  .099, DAL, .459, 9.3, 17.6, .175,  loss
DAL, .459, 9.3, 17.6, .175, MIN,  .467,  15.1,  21.3,  .099,  win
DET,  .550,  8.6,  27.5,  .438, HOU, .516, 11.2, 22.4, .168,  win
HOU, .516, 11.2, 22.4, .168, DET,  .550,  8.6,  27.5,  .438,  loss
SAC,  .517,  12.1,  34.1,  .225, LAL, .378, 8.0, 21.4, .278,  win
LAL, .378, 8.0, 21.4, .278, SAC,  .517,  12.1,  34.1,  .225,  loss
UTA,  .500,  10.7,  35.0,  .291, NYK, .561, 8.4, 31.6, .189,  loss
NYK, .561, 8.4, 31.6, .189, UTA,  .500,  10.7,  35.0,  .291,  win
CHO,  .475,  15.1,  14.0,  .222, OKC, .524, 17.2, 33.3, .265,  loss
OKC, .524, 17.2, 33.3, .265, CHO,  .475,  15.1,  14.0,  .222,  win
PHI,  .547,  14.4,  10.5,  .203, ORL, .417, 12.8, 26.0, .202,  win
ORL, .417, 12.8, 26.0, .202, PHI,  .547,  14.4,  10.5,  .203,  loss
ATL,  .506,  11.8,  21.3,  .184, POR, .484, 10.8, 28.3, .074,  win
